CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,corridor
637736,41.756726,-72.738545,West Hartford,1/13/20,O,O,4,Local,42,BOULEVARD,BOULEVARD,RAYMOND RD,,Boulevard midwest
637735,41.74814,-72.739759,West Hartford,1/13/20,O,O,4,Local,221,GREENHURST RD,GREENHURST RD,,Crestwood Rd.,
637734,41.769396,-72.737857,West Hartford,1/13/20,O,O,4,Local,177,FERN ST,FERN ST,,Trout Brook Dr,
637471,41.75976,-72.72107,West Hartford,1/13/20,O,O,4,Local,42,BOULEVARD,BOULEVARD,BEVERLY RD,,Boulevard east
639809,41.764117,-72.718111,West Hartford,1/14/20,A,B,4,Local,458,SOUTH HIGHLAND ST,SOUTH HIGHLAND ST,FENNWAY,,
638838,41.739834,-72.718891,West Hartford,1/14/20,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,Oakwood Ave.,New Park Ave
638742,41.736188,-72.730391,West Hartford,1/14/20,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,TROUT BROOK DR,,Quaker Lane South
638693,41.783303,-72.746625,West Hartford,1/14/20,O,O,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,,HAYNES RD,North Main from Center
638491,41.742305,-72.716693,West Hartford,1/14/20,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,FLATBUSH AV,,
641570,41.76063,-72.742204,West Hartford,1/16/20,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Farmington Avenue,South Main to NB
639829,41.75307,-72.74354,West Hartford,1/16/20,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,PARK RD,,South Main to NB
639810,41.727533,-72.734539,West Hartford,1/16/20,O,O,4,Local,226,GROVE ST,GROVE ST,ELMFIELD ST NO 1,,
638758,41.757484,-72.743105,West Hartford,1/16/20,A,C,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,BURR ST,,South Main to NB
638757,41.75352,-72.76399,West Hartford,1/16/20,A,C,4,Local,42,BOULEVARD,BOULEVARD,MOUNTAIN RD NO 1,,Boulevard west
638697,41.761524,-72.7436,West Hartford,1/16/20,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,South Main Street,Farmington Ave
638696,41.756718,-72.726701,West Hartford,1/16/20,O,O,4,Local,371,PARK RD,PARK RD,,Fairfax Ave,Park Rd east
638695,41.761407,-72.73987,West Hartford,1/16/20,O,O,4,Local,261,ISHAM RD,ISHAM RD,,RAYMOND RD,
643313,41.756496,-72.76901,West Hartford,1/17/20,O,O,4,Local,400,RAVENWOOD RD,RAVENWOOD RD,,Mountain Terrace Rd.,
